Y,A,limit_bal,sex,education,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6
-2.6545604554785953,0,470000,1,1,30,0,0,0,0,0,0,294980,276255,241089,223366,207733,15128,12235,10123,10019,10102,10000
-3.8383546838413993,1,280000,0,2,56,0,0,0,0,0,0,284041,283396,213294,213384,213604,10261,17003,7657,7750,7861,8083
1.1809557428494726,0,240000,0,2,37,0,-1,-1,0,-1,-1,1346,3195,1932,7363,1546,1346,3195,0,7383,1546,4390
-0.4535398525236571,0,300000,0,1,42,-1,-1,-1,0,0,-2,668,9737,367,-23,-413,668,9800,0,0,0,0
-0.9543316857510947,0,170000,1,3,45,0,0,0,0,0,0,117364,119552,111404,113635,98411,6305,6000,6000,3854,5000,8000
-2.88387708609645,0,110000,0,2,23,0,0,0,0,0,0,20683,21654,21998,23255,24527,2500,2000,1400,2000,1800,1100
-3.193861935539165,0,80000,0,2,28,0,0,0,0,0,0,76079,78410,55417,50733,50441,3670,4520,3311,50441,1800,2100
-1.0340332753739763,0,160000,1,2,32,1,2,0,0,0,0,4039,3656,3801,2540,2279,0,1094,1500,0,1000,0
-1.4784794829897352,0,280000,1,3,45,-2,-2,-2,-2,-2,-2,1589,-7,1420,8036,12863,1596,0,1427,8076,12927,0
-1.137493708211285,0,130000,0,1,30,3,2,2,0,0,0,9533,10220,10353,10636,10711,1000,1000,600,600,400,600
-4.479102612958179,0,330000,0,1,34,0,0,0,0,0,0,245882,228275,227974,185431,107493,15000,10008,10000,20000,25000,3500
1.0520185379860953,1,780000,1,1,48,0,0,0,0,0,0,178587,190663,195124,184872,191090,10000,15004,10000,8000,10028,7003
-0.0676574339253454,0,200000,0,3,29,-1,-1,-1,-1,0,0,7485,12555,882,882,0,7485,12625,882,0,0,0
-3.42249712041995,0,10000,1,2,35,0,0,0,0,0,0,8106,9363,9559,9855,10042,1200,1400,500,600,500,200
-2.0216404508427637,0,360000,0,3,38,1,2,2,0,0,0,24395,22285,21359,21581,16065,2000,0,687,3864,1065,11500
0.3803902025801644,1,50000,1,1,25,-1,0,0,0,0,0,16533,10745,9994,16829,13051,3000,9537,5000,10000,5000,2000
0.3030766218890531,0,140000,1,2,34,-1,-1,-1,-1,-1,-1,430,702,430,430,430,430,702,430,430,430,860
-4.391085145029148,0,150000,0,5,34,0,0,0,0,0,0,88000,93000,98000,100000,0,5000,5000,5000,2000,0,0
1.4335641033841102,0,310000,1,1,34,-1,-1,-2,-1,-1,0,-7,-7,500,736,739,0,0,507,736,3,797
-4.624900265821717,0,30000,0,3,54,0,0,0,0,2,2,18734,19442,20741,21162,20671,1615,1323,1622,900,0,765
-1.5958787386640152,0,200000,1,3,45,0,0,0,0,0,0,78409,58998,60219,61748,64220,3200,2200,2200,2500,3500,90000
1.5878243848157252,0,80000,0,1,23,1,-2,-2,-2,-1,-1,0,0,0,826,1803,0,0,0,826,1803,0
-1.6015609434220297,0,200000,0,4,25,-2,-2,-2,-2,-2,-2,0,0,-5,-5,-5,0,0,0,0,0,0
-2.0272903540094154,0,150000,0,3,45,0,0,0,0,0,0,42652,42306,41579,40669,39301,2000,2100,1837,1400,1486,1572
-1.515683504997533,0,70000,1,2,35,0,0,0,0,0,0,29775,31273,33739,34632,33746,3000,2000,3000,1600,1500,1600
-0.042237875608629905,0,100000,0,3,55,-2,-2,-2,-2,-2,-2,390,390,390,390,390,390,390,390,390,390,390
2.743965996901801,0,200000,1,1,49,1,-1,-1,-1,-1,-1,492,0,489,320,732,492,0,489,320,732,5335
2.344796842939436,0,10000,1,2,25,4,3,3,2,0,0,5731,6095,6351,6603,6855,600,600,500,500,500,500
0.8989288325727776,0,250000,0,1,36,0,0,0,0,0,0,114954,116608,120564,121477,124115,5600,5000,5900,4400,4600,5100
0.8879178058913869,1,280000,1,1,38,1,-1,-1,-1,-1,-1,5393,2369,3700,5024,5188,5410,2380,3709,5849,5606,5299
-1.7093741765055064,1,120000,0,2,31,0,0,0,0,0,0,117767,115918,116918,118698,121372,5700,4172,4168,4770,5119,2954
-1.3328829913130846,0,150000,0,2,26,-2,-2,-2,-2,-2,-2,27448,29890,390,257,10700,27603,29890,21890,257,10833,212
-1.0579151071349924,0,80000,0,3,23,0,0,2,2,2,2,76940,68255,55983,59823,51519,6200,2000,2,6278,0,1567
-1.4249558377248106,0,30000,0,1,36,2,2,2,0,0,0,25747,25048,26060,26578,27133,3120,0,1433,951,983,1099
-2.558233585293192,0,50000,0,2,47,0,0,0,0,0,0,40638,41741,45982,43041,42957,2000,1759,5000,1525,1569,3000
-3.2317615159722415,0,200000,0,1,35,0,0,0,0,0,0,77949,74865,72766,70444,69003,4000,4000,5012,4000,3000,4000
2.325753028463773,0,20000,1,3,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
-2.77883285314063,0,140000,0,1,24,0,0,0,-1,-1,-1,3146,0,2000,4716,7485,1000,0,2000,4716,7485,10254
0.031054904449752264,0,210000,1,2,35,-1,-1,-2,-2,-1,-1,0,0,0,1243,0,0,0,0,1243,0,0
-4.611536732782389,0,360000,0,2,34,0,0,0,0,0,0,246380,236139,241056,246297,246072,10500,8500,8750,9200,9800,8700
-0.9097891682040846,0,240000,0,2,28,-2,-2,-2,-2,-2,-2,1154,0,1954,0,0,1154,0,1954,0,0,0
-1.5150797978058046,0,100000,1,2,42,0,0,2,2,0,0,61562,61392,59619,59814,58571,5500,2000,2,2007,2225,1947
-1.822139320213128,0,20000,1,2,27,-1,-1,-1,-1,-1,-1,1662,1473,1623,1623,1663,1662,1473,1623,1623,1663,1623
-2.287107011826413,0,50000,1,2,29,0,0,0,0,0,0,19132,15138,14036,14752,15445,1660,1065,5000,5000,5000,2000
-1.928568818420953,0,220000,1,1,25,-1,-1,0,0,0,0,84332,85897,90106,94129,101037,88444,4000,5000,5000,8000,5000
-0.5580328333014641,0,430000,1,3,36,0,0,0,0,0,0,39897,48916,52021,27796,29340,5000,10000,4000,1500,2000,2000
-1.725388414837683,1,320000,1,2,28,0,0,0,0,0,-1,7508,5591,2371,4754,4932,2552,2016,0,12,5036,10306
-2.269013446504953,0,50000,1,2,27,1,2,2,2,2,2,17082,20088,19483,19742,19275,0,3300,0,1560,0,881
-0.4281354218593679,0,400000,1,1,40,-1,-1,-2,-1,-1,-2,0,0,2827,0,0,0,0,2827,0,0,3347
-1.8409115256083166,0,90000,0,3,51,0,0,0,0,2,0,12340,13349,14276,13904,14184,1212,1221,1148,0,510,525
-0.398387846839868,0,120000,1,1,29,-2,-2,-2,-2,-2,-2,119255,120584,70990,0,0,5025,4023,3300,0,0,68010
-3.2080426159267796,0,280000,0,1,29,-1,-1,-1,-1,-1,0,526,9252,21254,1608,407,726,9298,21360,1614,2,4069
0.3684919639446728,0,180000,1,2,26,-1,-1,-1,-1,-1,-1,396,396,396,396,396,396,396,396,396,396,396
-0.3417022031076672,0,410000,0,1,25,-1,-1,-1,-1,-1,-1,4357,10513,9137,7781,28870,4357,10513,9137,7781,28870,15000
-1.3325264178980423,0,260000,0,2,40,0,0,-1,-1,0,-1,43944,46957,45114,26114,46750,40000,48058,46000,26000,48000,33000
-0.4760611462846325,0,20000,0,2,43,0,0,0,0,0,2,19639,18541,19059,19757,19913,1295,1309,1602,1300,600,400
-2.2999029907437727,0,320000,1,1,29,-2,-2,-2,-2,-2,-2,26156,13185,17439,66408,14333,28524,13270,17562,66751,14405,52677
0.48414518076571966,0,130000,0,2,23,-1,-1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
0.7690747729074463,0,500000,1,1,58,1,2,0,0,-1,-1,63099,64610,64133,264,264,0,2787,1312,264,264,4709
-2.125313222936595,0,230000,1,2,35,0,0,0,0,0,-1,180639,180117,179717,124117,182717,10000,5000,0,5000,189600,10000
-0.8426762556445999,0,210000,0,1,28,-1,0,0,0,0,0,68394,70305,65626,64638,67498,6009,5000,5000,5000,5000,5000
-2.6949238511280305,0,50000,0,1,27,0,0,0,0,0,0,5924,4766,5652,5772,4392,1068,1114,1000,120,0,0
0.6612552792679225,0,50000,0,1,36,1,2,2,2,2,2,29244,30827,31224,30587,32763,1000,2363,1200,0,2700,1157
-0.5910595124385792,1,50000,1,3,55,0,0,0,2,2,-2,50690,51393,49949,21942,19826,1750,5600,34,10600,712,729
-2.512237069032989,0,10000,1,2,44,0,0,0,0,0,0,6398,5295,5635,8735,6745,3012,2000,3009,4000,0,0
-2.4229022390796193,0,50000,0,3,23,0,0,0,0,0,2,34212,33886,32929,34549,33458,1861,2004,1324,3768,1,1141
-1.4004088898731126,0,220000,0,2,31,-1,-1,-2,-1,-1,-2,0,0,110699,0,0,0,0,110699,0,0,0
-1.5692775109988566,0,50000,1,3,42,0,0,0,0,0,0,23807,17623,17974,18350,18721,2000,1293,644,666,676,681
1.4240441514477635,0,90000,0,1,27,0,0,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
-2.003849207291407,0,20000,0,2,51,2,2,2,2,0,0,18820,19717,18701,18726,18501,1800,1500,0,1000,1000,1000
-3.2272708578194504,0,30000,0,2,45,1,2,2,2,2,2,13923,17194,16625,17442,18016,1000,3500,0,1400,1000,1000
0.49008460880825744,0,400000,0,1,28,-1,-1,-1,-1,-1,2,8968,1600,8799,6171,4921,9066,1608,9070,1001,3,2214
1.150728995743533,0,210000,0,3,42,1,-1,-1,0,0,-1,1200,12466,16870,17741,13049,1200,12466,6004,6000,7282,9731
-0.1925903264057216,1,100000,0,3,43,2,2,0,0,0,0,97814,100337,100585,52041,70731,0,5000,2623,2500,32000,2567
-0.6769145906403486,0,250000,0,2,26,0,0,0,0,0,-1,17787,18852,24097,19152,1547,1500,1500,5645,500,1547,0
-0.7398039978383102,1,60000,1,3,43,0,0,0,0,0,0,42706,42345,42849,17490,15633,1669,2000,1870,1000,586,619
-2.212866113424505,0,160000,0,2,23,-1,2,0,0,0,-1,88542,68311,48875,37261,4267,0,2483,900,20000,4267,24659
-0.8138614174167449,0,210000,0,2,48,-1,-1,-1,-1,-1,0,11876,11876,11876,18954,11876,11876,11876,11876,18954,5000,11876
-0.4683825694203644,0,210000,0,1,47,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,2197
4.647203519642383,1,480000,1,1,50,-2,-2,-2,-2,-2,-2,8389,6375,1114,0,0,8389,6375,1114,0,0,0
-1.7155914352641333,0,200000,0,1,38,-2,-2,-2,-2,-2,-2,12125,13300,3450,13880,5147,12125,13416,3450,13880,5147,1050
-0.2698277152597467,1,180000,0,2,30,0,0,0,0,0,0,4221,9065,5016,5931,6826,1200,5000,1000,1000,1000,2000
-3.537521936950609,0,80000,0,2,30,0,0,0,0,0,0,80575,76782,48643,49263,49869,3077,2291,1723,1775,1802,1763
2.59479179806941,1,230000,0,2,37,2,-1,2,2,-1,0,3881,2297,-3,3044,2424,3888,16,0,3047,12,0
0.22385507626319434,0,80000,0,2,23,0,0,0,0,0,0,63184,58346,56361,55933,56936,4500,1973,3000,5000,2100,3200
0.8880777307778089,0,280000,1,1,51,-1,-1,-1,-1,-1,-1,445,393,294,223,13635,445,393,294,223,13635,16192
-1.087106765531052,0,20000,1,2,35,0,0,0,0,0,0,19694,19945,20051,19472,19830,1312,1363,1249,1000,2000,1000
0.2235290167411791,0,20000,1,2,33,-1,0,0,0,0,0,1603,19980,19983,20066,19855,1272,19288,681,917,1000,889
-3.007080834388679,0,20000,0,2,28,0,0,0,0,0,0,7076,8169,8956,8956,0,1120,1213,1000,0,0,0
-0.32096456446999944,0,210000,0,3,39,0,0,0,0,0,0,107312,65968,67307,46511,47583,6000,5000,2697,2000,2012,1172
3.350924797560358,0,300000,1,1,27,1,-1,-1,-2,-1,-1,11174,0,0,3330,3330,11174,0,0,3330,3330,3330
-4.628464109647551,0,230000,0,1,45,0,0,0,0,0,0,205816,205294,194263,212257,206084,15006,15026,15000,20000,15030,15030
